"date","precip","parapluie"
2005-01-01,36.1666666666667,-20.8473934550989
2005-02-01,34.3333333333333,-30.2751468476
2005-03-01,37.5,-8.95290024010119
2005-04-01,86.8333333333333,12.8693463673977
2005-05-01,63,10.0415929748966
2005-06-01,38,7.76383958239543
2005-07-01,49.6666666666667,8.78608618989431
2005-08-01,41,3.65833279739318
2005-09-01,58,5.48057940489206
2005-10-01,74.3333333333333,2.10282601239093
2005-11-01,64.3333333333333,4.8750726198898
2005-12-01,55.3333333333333,5.19731922738868
2006-01-01,45.8333333333333,1.41956583488755
2006-02-01,50.5,-4.65818755761357
2006-03-01,98.6666666666667,-1.8359409501147
2006-04-01,40.5,-2.46369434261583
2006-05-01,70.3333333333333,-2.69144773511695
2006-06-01,33.5,-1.86920112761807
2006-07-01,51.5,-2.1469545201192
2006-08-01,78.8333333333333,-5.22470791262032
2006-09-01,89.1666666666667,1.84753869487855
2006-10-01,76.6666666666667,-0.230214697622572
2006-11-01,58.5,1.9920319098763
2006-12-01,64.5,7.71427851737517
2007-01-01,47.5,-1.11347487512595
2007-02-01,76.6666666666667,-1.54122826762708
2007-03-01,66,-0.968981660128201
2007-04-01,28.5,1.80326494737068
2007-05-01,112.333333333333,10.1755115548695
2007-06-01,86,4.74775816236842
2007-07-01,80.3333333333333,-0.279995230132704
2007-08-01,81.6666666666667,5.64225137736617
2007-09-01,43.8333333333333,2.86449798486505
2007-10-01,29.3333333333333,-2.71325540763608
2007-11-01,51.1666666666667,2.1089911998628
2007-12-01,55.5,7.18123780736167
2008-01-01,74.1666666666667,-0.496515585139454
2008-02-01,32.6666666666667,-7.42426897764058
2008-03-01,77,1.4979776298583
2008-04-01,86.3333333333333,1.97022423735717
2008-05-01,89.5,3.79247084485605
2008-06-01,56,4.41471745235492
2008-07-01,57,-5.31303594014621
2008-08-01,69.1666666666667,-0.64078933264733
2008-09-01,73.3333333333333,-2.66854272514846
2008-10-01,87.1666666666667,2.40370388235042
2008-11-01,80,9.87595048984929
2008-12-01,70.3333333333333,3.29819709734817
2009-01-01,64.3333333333333,-2.12955629515296
2009-02-01,50.3333333333333,-4.30730968765408
2009-03-01,44,-3.43506308015521
2009-04-01,81.8333333333333,-1.66281647265633
2009-05-01,51.1666666666667,-1.29056986515746
2009-06-01,63.1666666666667,-1.76832325765859
2009-07-01,61,-8.19607665015971
2009-08-01,35.5,-11.7738300426608
2009-09-01,46.5,-3.55158343516196
2009-10-01,54,3.02066317233691
2009-11-01,106.666666666667,21.1429097798358
2009-12-01,93.1666666666667,8.41515638733467
2010-01-01,55.3333333333333,-4.11259700516646
2010-02-01,73.1666666666667,-8.19035039766759
2010-03-01,54.1666666666667,-2.86810379016871
2010-04-01,26.3333333333333,-5.04585718266984
2010-05-01,70.1666666666667,-0.623610575170962
2010-06-01,77.3333333333333,-5.15136396767209
2010-07-01,40,-10.3291173601732
2010-08-01,67.5,-7.10687075267434
2010-09-01,65.3333333333333,-0.684624145175464
2010-10-01,80,-0.76237753767659
2010-11-01,101.166666666667,14.2098690698223
2010-12-01,80.8333333333333,5.03211567732116
